Seorang	NND
pengacara	NN
-nya	PRP
,	Z
Philippe	NNP
Meilhac	NNP
,	Z
mencela	VB
keputusan	NN
itu	PR
sebagai	IN
tanpa	IN
dasar	NN
,	Z
dan	CC
menyatakan	VB
bahwa	SC
tak	NEG
ada	VB
tindakan	NN
yang	SC
telah	MD
diambil	VB
terhadap	IN
Agathe	NNP
oleh	IN
Mahkamah	NNP
Internasional	NNP
bagi	NNP
Rwanda	NNP
(	Z
ICTR	NNP
)	Z
--	Z
yang	SC
mengadili	VB
pelaku	NN
pembantaian	NN
suku bangsa	NN
tersebut	PR
.	Z
Agathe	NNP
mengajukan	VB
gugatan	NN
perdata	NN
dalam	IN
kasus	NN
jatuh	VB
-nya	PRP
pesawat	NN
yang	SC
membawa	VB
suami	NN
-nya	PRP
,	Z
dari	IN
suku	NNP
Hutu	NNP
,	Z
pada	IN
6	CD
April	NNP
1994	CD
--	Z
yang	SC
memicu	VB
pembunuhan	NN
hampir	RB
800.000	CD
orang	NN
,	Z
kebanyakan	CD
dari	IN
suku	NN
minoritas	NN
Tutsi	NNP
.	Z
Rwanda	NNP
memutuskan	VB
hubungan	NN
diplomasi	NN
dengan	IN
Perancis	NNP
bulan	NN
lalu	CC
,	Z
setelah	SC
hakim	NN
dalam	IN
kasus	NN
itu	PR
memanggil	VB
Presiden	NNP
Paul	NNP
Kagame	NNP
,	Z
dari	IN
suku	NNP
Tutsi	NNP
,	Z
untuk	SC
menghadapi	VB
pengadilan	NN
sehubungan	SC
dengan	IN
kematian	NN
Habyarimana	NNP
.	Z
Kagame	NNP
sejak	IN
lama	JJ
telah	MD
membantah	VB
bahwa	SC
ia	PRP
terlibat	VB
dalam	IN
peristiwa	NN
itu	PR
.	Z
Pejuang	NN
anti	JJ
-	Z
apartheid	NN
dan	CC
pemenang	NN
Hadiah	NNP
Nobel	NNP
Perdamaian	NNP
Nelson	NNP
Mandela	NNP
dipilih	VB
sebagai	IN
pahlawan	NN
politik	NN
paling	RB
populer	JJ
dalam	IN
survei	NN
di	IN
kalangan	NN
anggota	NN
Parlemen	NNP
inggris	NNP
yang	SC
diterbitkan	VB
dalam	IN
The	NNP
Independent	NNP
,	Z
Selasa	NNP
.	Z
Mandela	NNP
dipilih	VB
oleh	IN
27	CD
anggota	NN
Parlemen	NN
dalam	IN
survey	FW
yang	SC
diikuti	VB
lebih	RB
dari	IN
150	CD
anggota	NN
Majelis	NNP
Rendah	NNP
,	Z
yang	SC
diselenggarakan	VB
oleh	IN
CommunicateResearch	NNP
,	Z
disusul	VB
kemudian	CC
oleh	IN
mantan	NNP
perdana menteri	NNP
inggris	NNP
Margareth	NNP
Thatcher	NNP
dengan	IN
12	CD
nominasi	NN
dan	CC
pemimpin	NN
era	NN
perang	NNP
inggris	NNP
,	Z
Winston	NNP
Churchill	NNP
dengan	IN
11	CD
pemilih	NN
.	Z
Perdana	NNP
Menteri	NNP
inggris	NNP
sekarang	NN
,	Z
Tony	NNP
Blair	NNP
menempati	VB
urutan	NN
keempat	OD
dengan	IN
tujuh	CD
